City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind_Speed
bethel,US,41.3712,-73.414,19.75,54,0,5.14
barrow,US,71.2906,-156.7887,0.09,98,94,5.77
saskylakh,RU,71.9167,114.0833,-6.32,94,81,1.28
albany,US,42.6001,-73.9662,23.04,44,99,2.47
ituverava,BR,-20.3394,-47.7806,18.09,58,0,2.5
pandan,PH,14.0453,124.1694,26.92,85,84,2.94
rikitea,PF,-23.1203,-134.9692,23.86,76,22,2.04
tasiilaq,GL,65.6145,-37.6368,1.81,85,100,0.67
esperance,AU,-33.8667,121.9,13.75,83,82,3.87
hilo,US,19.7297,-155.09,24.03,85,51,0.89
phan thiet,VN,10.9333,108.1,26.2,83,100,3.85
krasnosilka,UA,46.6226,30.7742,15.17,65,94,6.24
arraial do cabo,BR,-22.9661,-42.0278,22.92,73,0,5.14
hare bay,CA,48.8499,-54.0148,13.78,54,17,3.81
andenes,NO,69.3143,16.1194,12.99,67,75,4.12
tazovskiy,RU,67.4667,78.7,-0.26,84,10,2.93
upernavik,GL,72.7868,-56.1549,-3.77,63,81,4.14
broken hill,AU,-31.95,141.4333,13.88,79,85,1.65
dudinka,RU,69.4058,86.1778,-1.32,90,67,4.99
severo-kurilsk,RU,50.6789,156.125,4.64,95,100,3.17
port alfred,ZA,-33.5906,26.891,16.21,87,8,1.34
hithadhoo,MV,-0.6,73.0833,28.36,66,100,2.15
bluff,NZ,-46.6,168.3333,6.0,69,73,2.5
margate,GB,51.3813,1.3862,12.99,85,18,1.34
ribeira grande,PT,38.5167,-28.7,18.22,77,75,4.63
kapaa,US,22.0752,-159.319,26.18,69,4,2.24
talnakh,RU,69.4865,88.3972,-1.55,88,88,1.37
igarka,RU,67.4667,86.5833,0.12,87,96,4.94
norman wells,CA,65.282,-126.8329,15.02,44,75,4.12
honiara,SB,-9.4333,159.95,27.89,77,12,1.55
lompoc,US,34.6391,-120.4579,23.96,61,40,4.63
flinders,AU,-34.5833,150.8552,11.45,94,100,1.79
puerto ayora,EC,-0.7393,-90.3518,23.08,90,74,1.79
vaini,TO,-21.2,-175.2,27.09,78,40,3.6
souillac,MU,-20.5167,57.5167,20.21,94,40,1.54
khandbari,NP,27.3747,87.2039,19.58,81,69,1.2
mataura,NZ,-46.1927,168.8643,5.82,90,23,0.84
jamestown,US,42.097,-79.2353,23.06,54,100,2.68
mirabad,AF,30.4362,61.8383,29.25,24,16,10.38
beihai,CN,21.4833,109.1,26.57,89,100,3.16
khatanga,RU,71.9667,102.5,-1.83,85,53,2.49
carutapera,BR,-1.195,-46.02,24.36,94,62,2.85
havre-saint-pierre,CA,50.2334,-63.5986,14.2,54,0,9.26
ushuaia,AR,-54.8,-68.3,4.81,75,40,16.46
punta arenas,CL,-53.15,-70.9167,5.06,81,20,6.17
tevaitoa,PF,-16.7833,-151.5,27.05,65,0,5.35
moussoro,TD,13.6408,16.4901,31.77,7,3,3.92
san borja,BO,-14.8167,-66.85,23.38,91,95,1.25
hobart,AU,-42.8794,147.3294,5.51,94,20,2.06
yerbogachen,RU,61.2767,108.0108,6.72,72,100,4.29
makakilo city,US,21.3469,-158.0858,26.66,52,4,5.33
bairiki,KI,1.3292,172.9752,29.0,70,75,3.6
pimentel,PE,-6.8367,-79.9342,22.16,60,0,8.23
lavrentiya,RU,65.5833,-171.0,4.78,85,100,3.35
bolshevo,RU,55.9349,37.83,9.12,90,79,2.03
erzin,TR,36.9559,36.2,19.1,63,0,1.47
seoul,KR,37.5683,126.9778,12.43,94,20,1.03
klaksvik,FO,62.2266,-6.589,8.51,77,27,7.41
diffa,NE,13.3154,12.6113,29.58,10,1,3.01
saryg-sep,RU,51.5,95.6,16.6,55,100,1.16
atuona,PF,-9.8,-139.0333,25.88,76,18,8.23
cherskiy,RU,68.75,161.3,5.07,70,49,6.11
new norfolk,AU,-42.7826,147.0587,7.73,88,48,1.3
nizhniy odes,RU,63.6445,54.856,11.3,97,100,3.48
irupi,BR,-20.3453,-41.6411,14.69,92,55,0.93
lebu,CL,-37.6167,-73.65,9.58,78,41,8.07
chokurdakh,RU,70.6333,147.9167,-0.66,78,87,4.51
chuy,UY,-33.6971,-53.4616,14.76,95,100,6.16
nurota,UZ,40.5614,65.6886,24.02,35,73,3.99
pisco,PE,-13.7,-76.2167,19.03,72,0,3.6
lebowakgomo,ZA,-24.2,29.5,8.25,37,0,1.79
upata,VE,8.0086,-62.3989,27.27,66,74,3.09
yellowknife,CA,62.456,-114.3525,14.29,30,20,4.12
calabozo,VE,8.9242,-67.4293,30.82,52,99,2.61
ahipara,NZ,-35.1667,173.1667,16.38,55,92,2.2
beidao,CN,34.5686,105.8933,12.76,89,100,0.57
martapura,ID,-3.4167,114.85,22.05,100,100,3.09
tuktoyaktuk,CA,69.4541,-133.0374,-1.0,86,75,3.6
caravelas,BR,-17.7125,-39.2481,21.23,89,1,3.79
karratha,AU,-20.7377,116.8463,23.3,59,8,2.72
provideniya,RU,64.3833,-173.3,2.06,80,100,2.0
georgetown,MY,5.4112,100.3354,25.01,93,20,0.51
maldonado,UY,-34.6667,-54.9167,11.66,91,100,5.96
grand-santi,GF,4.25,-54.3833,23.47,97,82,1.18
rovnoye,RU,50.7765,46.0509,8.77,59,87,2.01
agirish,RU,61.9247,63.0231,13.93,84,99,3.89
tautira,PF,-17.7333,-149.15,26.4,73,44,4.56
safford,US,32.834,-109.7076,35.06,8,1,6.35
pevek,RU,69.7008,170.3133,-0.42,93,41,4.66
carnarvon,AU,-24.8667,113.6333,21.55,60,100,2.5
castro,BR,-24.7911,-50.0119,13.61,76,0,1.98
wapi pathum,TH,15.8452,103.3768,27.4,81,100,3.99
ulladulla,AU,-35.35,150.4667,13.18,84,100,1.46
kodiak,US,57.79,-152.4072,8.5,74,70,2.65
sao domingos do prata,BR,-19.865,-42.9683,18.46,69,87,1.54
mattru,SL,7.6244,-11.8332,22.39,99,100,2.02
mar del plata,AR,-38.0023,-57.5575,10.81,65,40,3.09
szczytno,PL,53.5626,20.9875,9.96,100,40,2.06
xining,CN,36.6167,101.7667,12.4,80,100,0.11
warmbad,NA,-28.45,18.7333,16.07,28,0,2.32
ostrovnoy,RU,68.0531,39.5131,0.67,98,19,2.21
amalapuram,IN,16.5833,82.0167,27.62,85,62,1.95
maragogi,BR,-9.0122,-35.2225,24.44,89,100,4.77
